rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
1,090360,로보스타,KOSDAQ,847275000000,기타,86900.0,22.0,20.0,20.0,9,9.0,80.0,79948.0,8.0,1.694915254237288,20.216092831196082,B,76825.0,74926.0,91383.23279425212,79800.0,2.15,🚪Door 🧘Squeeze 🔥Past 💧Dry+ 🚀Pivot+,7,False,2,20877839100.0,6439747200.0,20.0,20.0,,0,2026-01-19 08:19,1
2,195870,해성디에스,KOSPI,945200000000,기타,55600.0,22.0,30.0,5.0,12,9.0,78.0,51152.0,8.0,0.0,20.14404357141001,-,53220.0,52945.0,58376.71011042652,58500.0,0.67,🚪Door 🧘Squeeze 🧠Memory 🔥Past,0,False,3,3382787900.0,13687101900.0,30.0,5.0,,0,2026-01-19 08:19,1
3,033100,제룡전기,KOSDAQ,634465155500,기타,39500.0,24.0,30.0,8.0,9,7.0,78.0,36150.0,8.481012658227847,15.254237288135593,30.750775280384353,B,37195.0,36289.0,40058.91835982528,40700.0,3.27,🚪Door 🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,0,False,1,1017356900.0,260574650.0,30.0,8.0,,0,2026-01-19 08:19,1
4,178320,서진시스템,KOSDAQ,1625912418900,기타,29100.0,22.0,30.0,8.0,9,9.0,78.0,26772.0,8.0,11.864406779661017,21.243784026758636,-,26260.0,25448.0,29215.875174508605,28850.0,2.08,🚪Door 🧘Squeeze 🧠Memory 🚀Pivot+,0,False,1,5377433900.0,1344038150.0,30.0,8.0,,0,2026-01-19 08:19,1
5,097520,엠씨넥스,KOSPI,549017325000,기타,31550.0,25.0,20.0,10.0,15,7.0,77.0,28500.0,9.667194928684628,44.067796610169495,45.9553306491804,-,29452.5,27975.0,32426.170755706822,30350.0,1.73,🚪Door 🧠Memory 🔥Past 🚀Pivot,0,False,9,2201646300.0,35943250.0,20.0,10.0,,0,2026-01-19 08:19,1
6,005490,POSCO홀딩스,KOSPI,28124200820000,기타,347500.0,24.0,30.0,10.0,7,5.0,76.0,298000.0,14.244604316546763,13.559322033898304,31.897131770677056,R,315475.0,312990.0,337370.6320248914,352500.0,1.39,🚪Door 🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,0,True,0,143876365000.0,111727298500.0,30.0,10.0,,0,2026-01-19 08:19,1
7,071050,한국금융지주,KOSPI,10186711337600,기타,182800.0,25.0,30.0,5.0,9,7.0,76.0,165000.0,9.737417943107221,8.474576271186441,41.16803095979696,R,168030.0,165004.0,182071.7487700356,176500.0,1.29,🚪Door 🧘Squeeze 🧠Memory 🚀Pivot,0,True,1,14976949400.0,1280998900.0,30.0,5.0,,0,2026-01-19 08:19,1
8,456040,OCI,KOSPI,631150897500,기타,70500.0,24.0,20.0,10.0,12,9.0,75.0,64860.0,8.0,100.0,32.367657198216776,R,61895.0,60760.0,68062.21128374866,73100.0,1.82,🚪Door 🧠Memory 🔥Past 🚀Pivot,0,True,4,9334090300.0,7804108100.0,20.0,10.0,,0,2026-01-19 08:19,1
9,001800,오리온홀딩스,KOSPI,1277966608800,기타,20400.0,25.0,30.0,0.0,11,9.0,75.0,19220.0,5.784313725490196,6.779661016949152,47.16074629244071,-,20314.5,20209.0,21413.186281421244,21150.0,0.77,🚪Door 🧘Squeeze 🧠Memory,0,False,6,1918550810.0,-1435467080.0,30.0,0.0,,0,2026-01-19 08:19,1
10,388720,유일로보틱스,KOSDAQ,1145116230500,기타,97900.0,24.0,20.0,13.0,9,9.0,75.0,90068.0,8.0,27.11864406779661,33.756948129569714,R,84635.0,83664.0,95906.92871258069,94900.0,3.95,🚪Door 🧠Memory 🔥Past 💧Dry ⚠️Hot,3,True,2,11543627900.0,5813253100.0,20.0,13.0,,0,2026-01-19 08:19,1
