rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
1,056080,유진로봇,KOSDAQ,1232274193200,기타,32850.0,25.0,25.0,18.0,12,9.0,89.0,30222.0,8.0,100.0,44.17838607598734,R,16682.5,14248.0,4,True,4,29418239560.0,11292195250.0,25.0,18.0,18.0,0,0,,,0,2026-01-19 09:20,1
2,466100,클로봇,KOSDAQ,1891904922300,기타,75700.0,24.0,25.0,20.0,9,9.0,87.0,69644.0,8.0,70.58823529411765,30.994077748631803,R,63135.0,51508.0,8,True,2,6068738900.0,5790527500.0,25.0,20.0,20.0,0,0,,,0,2026-01-19 09:20,1
3,388720,유일로보틱스,KOSDAQ,1145116230500,기타,97900.0,24.0,25.0,18.0,9,9.0,85.0,90068.0,8.0,63.865546218487395,33.756948129569714,R,84635.0,83664.0,3,True,2,11543627900.0,5813253100.0,25.0,18.0,18.0,0,0,,,0,2026-01-19 09:20,1
4,117730,티로보틱스,KOSDAQ,578470461000,기타,26500.0,24.0,25.0,20.0,5,9.0,83.0,24380.0,8.0,61.34453781512605,39.12829943086909,R,20103.0,18248.0,5,True,2,9915634000.0,-326601150.0,25.0,20.0,20.0,0,0,,,0,2026-01-19 09:20,1
5,010140,삼성중공업,KOSPI,28028000000000,기타,31850.0,25.0,30.0,8.0,8,9.0,80.0,29302.0,8.0,24.369747899159663,45.9961467091761,R,26365.0,25917.0,0,True,4,163581907400.0,-42764280100.0,30.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
6,365340,성일하이텍,KOSDAQ,621560656800,기타,50800.0,23.0,28.0,8.0,9,9.0,77.0,46736.0,8.0,21.008403361344538,28.735063014606112,R,42565.0,42043.0,0,True,2,1951573750.0,2352194650.0,28.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
7,051600,한전KPS,KOSPI,2542500000000,기타,56500.0,21.0,30.0,8.0,9,9.0,77.0,51980.0,8.0,21.84873949579832,36.34709910986758,R,51765.0,52260.0,0,True,1,28823583800.0,5297522800.0,30.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
8,090710,휴림로봇,KOSDAQ,1988962330050,기타,16650.0,25.0,25.0,8.0,9,9.0,76.0,15318.0,8.0,77.3109243697479,80.57402637025085,R,8418.5,6711.1,2,True,2,25289957850.0,494022580.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
9,420770,기가비스,KOSDAQ,655336688600,기타,51700.0,25.0,25.0,8.0,7,9.0,74.0,47564.0,8.0,62.18487394957983,52.883140943453554,R,34915.0,33897.0,0,True,0,4927535350.0,8109716250.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
10,066570,LG전자,KOSPI,17412554770300,기타,106900.0,23.0,25.0,8.0,9,9.0,74.0,98348.0,8.0,56.30252100840336,26.998970579043636,R,93215.0,91730.0,0,True,2,45775431800.0,21473055200.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
