rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,007690,국도화학,KOSPI,322276953600,기타,34800.0,20.0,30.0,15.0,15,5.0,85.0,31300.0,10.057471264367816,5.882352941176471,21.618101921485728,R,33142.5,32437.0,34975.59302466398,True,True,True,30.0,15.0,5,449638700.0,599676100.0,2026-01-19 12:45,2,,0
2,035510,신세계 I&C,KOSPI,238374345000,기타,17050.0,20.0,30.0,20.0,9,5.0,84.0,15310.0,10.205278592375366,6.722689075630252,29.632747181694832,R,16504.5,16602.2,17802.707335420804,True,True,True,30.0,20.0,2,1565248260.0,497567500.0,2026-01-19 12:45,2,,0
3,000490,대동,KOSPI,291727873800,기타,10120.0,18.0,30.0,13.0,12,7.0,80.0,9200.0,9.090909090909092,3.361344537815126,18.919530431455797,R,9670.5,9571.2,10145.872995952595,True,True,True,30.0,13.0,3,973407030.0,25676880.0,2026-01-19 12:45,2,,0
4,338840,와이바이오로직스,KOSDAQ,413602707250,기타,27250.0,20.0,30.0,12.0,5,9.0,76.0,25070.0,8.0,14.285714285714286,16.168218185455046,R,24575.0,24452.0,28356.64668212607,True,True,True,30.0,12.0,2,4766622050.0,-2085749700.0,2026-01-19 12:45,2,,0
5,199430,케이엔알시스템,KOSDAQ,355236788900,기타,32300.0,22.0,20.0,20.0,5,9.0,76.0,29716.0,8.0,8.403361344537815,22.00826936109841,A,26932.5,25938.0,32417.45462030109,True,True,False,20.0,20.0,1,2464230500.0,-30200.0,2026-01-19 12:45,2,,0
6,210980,SK디앤디,KOSPI,237185446680,기타,12740.0,20.0,30.0,12.0,4,10.0,76.0,12570.0,1.3343799058084773,8.403361344537815,50.855424639652234,R,12834.0,12727.2,13071.032949733873,True,True,True,30.0,12.0,0,-328870750.0,492602690.0,2026-01-19 12:45,2,,0
7,474170,루미르,KOSDAQ,217197714240,기타,12190.0,25.0,20.0,12.0,7,9.0,73.0,11214.800000000001,8.0,100.0,81.06122145309928,A,10742.0,9125.2,12354.03975364997,True,False,True,20.0,12.0,0,1464344720.0,368127700.0,2026-01-19 12:45,2,,0
8,282880,코윈테크,KOSDAQ,207939678100,기타,18130.0,22.0,20.0,12.0,9,9.0,72.0,16679.600000000002,8.0,50.42016806722689,22.6967401416229,A,16112.75,15663.04,17943.581238479142,True,False,True,20.0,12.0,2,1638545680.0,15460600.0,2026-01-19 12:45,2,,0
9,211270,AP위성,KOSDAQ,227591967360,기타,15090.0,23.0,20.0,12.0,9,7.0,71.0,13650.0,9.542743538767395,100.0,65.77057308686082,A,13693.0,12275.4,14985.04787344433,True,False,True,20.0,12.0,1,1823673770.0,970845190.0,2026-01-19 12:45,2,,0
10,451760,컨텍,KOSDAQ,217496314960,기타,14260.0,25.0,20.0,12.0,9,5.0,71.0,12540.0,12.0617110799439,100.0,75.53969341614665,A,12527.0,9903.4,14232.857152799319,True,False,True,20.0,12.0,1,23913820.0,2641435720.0,2026-01-19 12:45,2,,0
