rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
1,004310,현대약품,KOSPI,422080000000,기타,13190.0,25.0,25.0,20.0,9,9.0,88.0,12134.800000000001,8.0,100.0,52.35794664269054,R,8297.0,5942.5,8,True,2,11048136220.0,1419470.0,25.0,20.0,20.0,0,0,,,0,2026-01-18 23:10,2
2,484810,티엑스알로보틱스,KOSDAQ,292949348400,기타,18960.0,22.0,28.0,20.0,9,9.0,88.0,17443.2,8.0,17.647058823529413,36.512380735334936,R,16301.5,15407.8,5,True,1,160991760.0,183880350.0,28.0,20.0,20.0,0,0,,,0,2026-01-18 23:10,2
3,002230,피에스텍,KOSDAQ,268484312600,기타,13930.0,25.0,25.0,8.0,9,9.0,76.0,12815.6,8.0,100.0,71.0407650941657,R,9457.0,6478.5,0,True,2,738083250.0,62776180.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:10,2
4,007860,서연,KOSPI,250529935480,기타,10670.0,25.0,15.0,8.0,15,9.0,72.0,9816.4,8.0,32.773109243697476,51.21422342903386,R,9731.0,9606.4,0,True,6,1567507990.0,190624160.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:10,2
5,475400,씨메스,KOSDAQ,422429998200,기타,36100.0,20.0,10.0,20.0,12,9.0,71.0,33212.0,8.0,38.65546218487395,17.575557853952795,B,33832.5,32685.0,7,False,3,7122263750.0,12866750.0,10.0,20.0,20.0,0,0,,,0,2026-01-18 23:10,2
6,389500,에스비비테크,KOSDAQ,347097939200,기타,54800.0,23.0,25.0,8.0,4,9.0,69.0,50416.0,8.0,100.0,28.641160656827886,R,42687.5,35647.0,2,True,0,-9399394400.0,2067339100.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:10,2
7,117730,티로보틱스,KOSDAQ,482422535400,기타,22100.0,24.0,10.0,20.0,5,9.0,68.0,20332.0,8.0,57.983193277310924,36.82632593661441,B,19675.5,18152.0,6,False,2,9915634000.0,-326601150.0,10.0,20.0,20.0,0,0,,,0,2026-01-18 23:10,2
8,244920,에이플러스에셋,KOSPI,242580545890,기타,10730.0,22.0,10.0,13.0,12,9.0,66.0,9871.6,8.0,100.0,24.260106025318997,B,9532.0,8482.6,3,False,4,4728402890.0,1314630150.0,10.0,13.0,13.0,0,0,,,0,2026-01-18 23:11,2
9,079960,동양이엔피,KOSDAQ,226761000000,기타,28850.0,23.0,15.0,8.0,7,9.0,62.0,26542.0,8.0,85.71428571428571,25.3734589922385,R,25837.5,24582.0,0,True,0,305371250.0,107127100.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:10,2
10,126720,수산인더스트리,KOSPI,349292700000,기타,24450.0,20.0,15.0,8.0,9,9.0,61.0,22494.0,8.0,36.134453781512605,23.3466900749753,R,21810.0,21377.0,0,True,1,1326202500.0,1475569000.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
11,199430,케이엔알시스템,KOSDAQ,323892366350,기타,29450.0,22.0,15.0,8.0,7,9.0,61.0,27094.0,8.0,4.201680672268908,23.194931413588392,B,26615.0,25989.0,1,False,0,1112271250.0,66700.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:10,2
12,451760,컨텍,KOSDAQ,213530744000,기타,14000.0,25.0,15.0,5.0,7,9.0,61.0,12880.0,8.0,100.0,76.33104699987868,R,12246.0,9783.8,3,True,0,857336260.0,2459411300.0,15.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
13,007690,국도화학,KOSPI,329685619200,기타,35600.0,20.0,20.0,0.0,15,5.0,60.0,31300.0,12.07865168539326,10.084033613445378,24.25955850411878,R,33062.5,32369.0,1,True,5,365648200.0,557492800.0,20.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
14,094820,일진파워,KOSDAQ,209594055100,기타,13900.0,24.0,15.0,8.0,8,5.0,60.0,11920.0,14.244604316546763,96.63865546218487,31.065687187965118,R,12885.0,11659.8,1,True,3,3759817580.0,-3864490.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
15,354320,알멕,KOSDAQ,281540333050,기타,44050.0,23.0,15.0,0.0,12,9.0,59.0,40526.0,8.0,100.0,74.29214009600244,R,26805.0,22695.8,0,True,3,791453400.0,700881900.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
16,032940,원익,KOSDAQ,257434204500,기타,14150.0,25.0,15.0,5.0,5,9.0,59.0,13018.0,8.0,95.7983193277311,68.28857177101261,R,10846.0,8774.8,4,True,2,2125246810.0,-17173690.0,15.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
17,003200,일신방직,KOSPI,285622400000,기타,12440.0,22.0,5.0,20.0,6,5.0,58.0,10970.0,11.816720257234726,38.65546218487395,52.10600221424461,C,12171.5,12270.2,7,False,1,-15197820.0,90919410.0,5.0,20.0,20.0,0,0,,,0,2026-01-18 23:11,2
18,286940,롯데이노베이트,KOSPI,324524922150,기타,21450.0,23.0,15.0,8.0,7,5.0,58.0,18740.0,12.634032634032636,38.65546218487395,44.348332361211874,R,19958.5,19818.8,0,True,0,570972240.0,287467270.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
19,200880,서연이화,KOSPI,438130963770,기타,16210.0,20.0,15.0,8.0,5,9.0,57.0,14913.2,8.0,84.03361344537815,19.2941760410791,R,13244.5,12740.4,0,True,1,901528550.0,-933608820.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
20,170920,엘티씨,KOSDAQ,229241534200,기타,21700.0,25.0,10.0,8.0,4,9.0,56.0,19964.0,8.0,56.30252100840336,61.4643265538272,B,20363.5,18594.8,0,False,0,-5291435350.0,1442022600.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
