rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,079900,전진건설로봇,KOSPI,731086504500,기타,50100.0,20.0,30.0,17.0,12,9.0,88.0,46300.0,7.584830339321358,15.126050420168067,23.113046405340658,R,48202.5,47005.0,51626.57890291903,True,True,True,30.0,17.0,3,1113919050.0,742942850.0,2026-01-19 12:48,1,,0
2,195870,해성디에스,KOSPI,945200000000,기타,55600.0,22.0,30.0,12.0,12,9.0,85.0,51152.0,8.0,0.0,20.14404357141001,R,53220.0,52945.0,58376.71011042652,True,True,True,30.0,12.0,4,7300113500.0,12268606600.0,2026-01-19 12:48,1,,0
3,001800,오리온홀딩스,KOSPI,1277966608800,기타,20400.0,25.0,30.0,7.0,11,9.0,82.0,19220.0,5.784313725490196,3.361344537815126,47.16074629244071,R,20314.5,20209.0,21413.186281421244,True,True,True,30.0,7.0,5,1964458580.0,-1044611170.0,2026-01-19 12:48,1,,0
4,097520,엠씨넥스,KOSPI,549017325000,기타,31550.0,25.0,20.0,15.0,15,7.0,82.0,28500.0,9.667194928684628,72.26890756302521,45.9553306491804,A,29452.5,27975.0,32426.170755706822,True,False,True,20.0,15.0,5,3791386750.0,84531550.0,2026-01-19 12:48,1,,0
5,033100,제룡전기,KOSDAQ,634465155500,기타,39500.0,24.0,30.0,15.0,4,7.0,80.0,35600.0,9.873417721518987,7.563025210084033,30.750775280384353,R,37195.0,36289.0,40058.91835982528,True,True,True,30.0,15.0,0,-2727125950.0,775853900.0,2026-01-19 12:48,1,,0
6,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,기타,76700.0,25.0,30.0,10.0,6,9.0,80.0,71800.0,6.388526727509778,11.764705882352942,58.14483966540875,R,71615.0,66566.0,79179.54180765856,True,True,True,30.0,10.0,1,-16694451900.0,20910415600.0,2026-01-19 12:48,1,,0
7,214370,케어젠,KOSDAQ,4157541000000,기타,77400.0,19.0,30.0,15.0,5,9.0,78.0,71208.0,8.0,0.8403361344537815,24.558485103883125,R,69470.0,70262.0,80864.81171199275,True,True,True,30.0,15.0,1,7548449400.0,-85585000.0,2026-01-19 12:48,1,,0
8,131970,두산테스나,KOSDAQ GLOBAL,1012747271200,기타,52400.0,25.0,30.0,5.0,9,9.0,78.0,48950.0,6.583969465648855,15.126050420168067,61.65499420670217,R,49850.0,46607.0,54559.75574956372,True,True,True,30.0,5.0,2,894846600.0,5311128500.0,2026-01-19 12:48,1,,0
9,064960,SNT모티브,KOSPI,1007203322400,기타,37950.0,24.0,20.0,20.0,2,9.0,75.0,34914.0,8.0,77.3109243697479,31.907587500255953,A,34820.0,33515.0,37678.90364066253,True,False,True,20.0,20.0,1,-2386793350.0,-2985648400.0,2026-01-19 12:48,1,,0
10,042660,한화오션,KOSPI,45594313027200,기타,148800.0,25.0,20.0,10.0,11,9.0,75.0,136896.0,8.0,61.34453781512605,52.01333692394793,A,126540.0,120938.0,148577.68039484683,True,False,True,20.0,10.0,5,381183911800.0,-34123290900.0,2026-01-19 12:48,1,,0
11,127120,제이에스링크,KOSDAQ,679682233200,기타,21300.0,17.0,20.0,17.0,12,9.0,75.0,19596.0,8.0,0.8403361344537815,13.376035234261428,A,18069.0,18482.0,21419.84210635057,True,True,False,20.0,17.0,3,4134710530.0,1367447920.0,2026-01-19 12:48,1,,0
12,357780,솔브레인,KOSDAQ GLOBAL,2372462630000,기타,305000.0,25.0,30.0,5.0,9,5.0,74.0,268500.0,11.967213114754099,15.966386554621849,40.06314171834349,R,275025.0,267800.0,300988.78003385296,True,True,True,30.0,5.0,1,2194894000.0,6956203500.0,2026-01-19 12:48,1,,0
13,005940,NH투자증권,KOSPI,8017748302500,기타,22500.0,22.0,30.0,10.0,3,9.0,74.0,20750.0,7.777777777777778,5.882352941176471,21.99791463373155,R,21382.5,21175.6,22235.936433064708,True,True,True,30.0,10.0,0,26892703600.0,-2423732500.0,2026-01-19 12:48,1,,0
14,006400,삼성SDI,KOSPI,25303856420000,기타,314000.0,22.0,20.0,13.0,9,9.0,73.0,288880.0,8.0,13.445378151260504,40.93745982369488,A,280050.0,295660.0,337101.52912040486,False,True,True,20.0,13.0,2,44644815500.0,98284818500.0,2026-01-19 12:48,1,,0
15,006730,서부T&D,KOSDAQ,905730575850,기타,13950.0,23.0,20.0,12.0,9,9.0,73.0,12834.0,8.0,76.47058823529412,29.43258596788109,A,12833.5,11865.4,14617.361588907772,True,False,True,20.0,12.0,1,3881317320.0,12088796370.0,2026-01-19 12:48,1,,0
16,018260,삼성에스디에스,KOSPI,14229777420000,기타,183900.0,24.0,30.0,5.0,5,9.0,73.0,171300.0,6.851549755301795,11.764705882352942,34.46711031227395,R,175050.0,172826.0,183653.36324781965,True,True,True,30.0,5.0,2,37197221000.0,-25616754600.0,2026-01-19 12:48,1,,0
17,090360,로보스타,KOSDAQ,847275000000,기타,86900.0,22.0,10.0,20.0,12,9.0,73.0,79948.0,8.0,34.45378151260504,20.216092831196082,B,76825.0,74926.0,91383.23279425212,True,False,False,10.0,20.0,3,27431164200.0,8305194300.0,2026-01-19 12:48,1,,0
18,095660,네오위즈,KOSDAQ,555163126400,기타,25400.0,17.0,30.0,7.0,9,10.0,73.0,24700.0,2.7559055118110236,2.5210084033613445,17.589495148151375,R,25192.5,25219.0,26411.464066166438,True,True,True,30.0,7.0,1,991462600.0,354379450.0,2026-01-19 12:48,1,,0
