rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,079900,전진건설로봇,KOSPI,731086504500,기타,50100.0,46300.0,20.0,20.0,20.0,12,9.0,81.0,7.584830339321358,15.126050420168067,23.113046405340658,R,48202.5,47005.0,51626.57890291903,True,True,20.0,20.0,3,1113919050.0,742942850.0,2026-01-19 14:03,1,,0
2,033100,제룡전기,KOSDAQ,634465155500,기타,39500.0,36150.0,24.0,25.0,20.0,4,7.0,80.0,8.481012658227847,7.563025210084033,30.750775280384353,B,37195.0,36289.0,40058.91835982528,True,True,25.0,20.0,0,-2727125950.0,775853900.0,2026-01-19 14:03,1,,0
3,090360,로보스타,KOSDAQ,847275000000,기타,86900.0,79948.0,22.0,15.0,20.0,12,9.0,78.0,8.0,34.45378151260504,20.216092831196082,B,76825.0,74926.0,91383.23279425212,True,False,15.0,20.0,3,27431164200.0,8305194300.0,2026-01-19 14:03,1,,0
4,160190,하이젠알앤엠,KOSDAQ,2026252800000,기타,65600.0,60352.0,22.0,15.0,20.0,12,9.0,78.0,8.0,36.134453781512605,20.080730761121732,B,57910.0,55882.0,66700.95317603895,True,False,15.0,20.0,3,10076434800.0,18655234400.0,2026-01-19 14:03,1,,0
5,195870,해성디에스,KOSPI,945200000000,기타,55600.0,51152.0,22.0,20.0,12.0,12,9.0,75.0,8.0,0.0,20.14404357141001,R,53220.0,52945.0,58376.71011042652,True,True,20.0,12.0,4,7300113500.0,12268606600.0,2026-01-19 14:03,1,,0
6,098460,고영,KOSDAQ,2059642650000,기타,30000.0,27600.0,25.0,15.0,20.0,6,9.0,75.0,8.0,77.3109243697479,46.23268353054994,B,25855.0,23911.6,31279.80580364285,True,False,15.0,20.0,1,-2879983600.0,3430843700.0,2026-01-19 14:03,1,,0
7,097520,엠씨넥스,KOSPI,549017325000,기타,31550.0,28500.0,25.0,10.0,18.0,15,7.0,75.0,9.667194928684628,72.26890756302521,45.9553306491804,-,29452.5,27975.0,32426.170755706822,True,False,10.0,18.0,5,3791386750.0,84531550.0,2026-01-19 14:03,1,,0
8,127120,제이에스링크,KOSDAQ,679682233200,기타,21300.0,19596.0,17.0,20.0,17.0,12,9.0,75.0,8.0,0.8403361344537815,13.376035234261428,R,18069.0,18482.0,21419.84210635057,True,True,20.0,17.0,3,4134710530.0,1367447920.0,2026-01-19 14:03,1,,0
9,131970,두산테스나,KOSDAQ GLOBAL,1012747271200,기타,52400.0,48950.0,25.0,20.0,11.0,9,9.0,74.0,6.583969465648855,15.126050420168067,61.65499420670217,R,49850.0,46607.0,54559.75574956372,True,True,20.0,11.0,2,894846600.0,5311128500.0,2026-01-19 14:03,1,,0
10,001800,오리온홀딩스,KOSPI,1277966608800,기타,20400.0,19220.0,25.0,20.0,7.0,11,9.0,72.0,5.784313725490196,3.361344537815126,47.16074629244071,R,20314.5,20209.0,21413.186281421244,True,True,20.0,7.0,5,1964458580.0,-1044611170.0,2026-01-19 14:03,1,,0
11,012510,더존비즈온,KOSPI,2907632428800,기타,95700.0,88044.0,22.0,15.0,20.0,5,9.0,71.0,8.0,21.008403361344538,40.524453252964726,B,89360.0,90560.0,98164.8346586582,True,False,15.0,20.0,1,14823067500.0,-1512809400.0,2026-01-19 14:03,1,,0
12,004800,효성,KOSPI,2561282271000,기타,153000.0,140760.0,22.0,10.0,15.0,15,9.0,71.0,8.0,28.571428571428573,57.51850405034982,-,124745.0,130598.0,153844.98644371054,True,False,10.0,15.0,5,14497234200.0,1128767300.0,2026-01-19 14:04,1,,0
13,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,기타,76700.0,71800.0,25.0,20.0,10.0,6,9.0,70.0,6.388526727509778,11.764705882352942,58.14483966540875,R,71615.0,66566.0,79179.54180765856,True,True,20.0,10.0,1,-16694451900.0,20910415600.0,2026-01-19 14:03,1,,0
14,388720,유일로보틱스,KOSDAQ,1145116230500,기타,97900.0,90068.0,24.0,5.0,20.0,12,9.0,70.0,8.0,63.865546218487395,33.756948129569714,B,84635.0,83664.0,95906.92871258069,False,False,5.0,20.0,3,26105951700.0,8403768500.0,2026-01-19 14:03,1,,0
15,064960,SNT모티브,KOSPI,1007203322400,기타,37950.0,35100.0,24.0,15.0,20.0,2,9.0,70.0,7.5098814229249005,77.3109243697479,31.907587500255953,B,34820.0,33515.0,37678.90364066253,True,False,15.0,20.0,1,-2386793350.0,-2985648400.0,2026-01-19 14:03,1,,0
16,466100,클로봇,KOSDAQ,1891904922300,기타,75700.0,69644.0,24.0,5.0,20.0,12,9.0,70.0,8.0,70.58823529411765,30.994077748631803,B,63135.0,51508.0,73439.67547079106,False,False,5.0,20.0,3,44285359400.0,7772430400.0,2026-01-19 14:04,1,,0
17,002240,고려제강,KOSPI,592650000000,기타,21950.0,20194.0,23.0,15.0,13.0,9,9.0,69.0,8.0,93.27731092436974,25.133899137177686,B,20547.5,19468.8,21720.807976663385,True,False,15.0,13.0,1,558396550.0,135023720.0,2026-01-19 14:03,1,,0
18,003550,LG,KOSPI,13725721065000,기타,89000.0,78600.0,22.0,10.0,17.0,15,5.0,69.0,11.685393258426966,2.5210084033613445,21.15176900883958,-,82520.0,82278.0,86619.351037632,False,True,10.0,17.0,5,24307122600.0,5201659600.0,2026-01-19 14:04,1,,0
19,214370,케어젠,KOSDAQ,4157541000000,기타,77400.0,71208.0,19.0,20.0,15.0,5,9.0,68.0,8.0,0.8403361344537815,24.558485103883125,R,69470.0,70262.0,80864.81171199275,True,True,20.0,15.0,1,7548449400.0,-85585000.0,2026-01-19 14:03,1,,0
20,086790,하나금융지주,KOSPI,26774943306800,기타,96200.0,91700.0,20.0,20.0,6.0,12,10.0,68.0,4.677754677754678,0.0,7.585054331157687,R,94140.0,93610.0,98466.20058619106,True,True,20.0,6.0,4,39752017500.0,83097900.0,2026-01-19 14:04,1,,0
21,006650,대한유화,KOSPI,988650000000,기타,152100.0,139932.0,20.0,20.0,11.0,7,9.0,67.0,8.0,0.0,25.090973502065193,R,143695.0,144462.0,159224.443212675,True,True,20.0,11.0,0,646885300.0,9666712600.0,2026-01-19 14:03,1,,0
22,066570,LG전자,KOSPI,17412554770300,기타,106900.0,98348.0,23.0,5.0,18.0,12,9.0,67.0,8.0,56.30252100840336,26.998970579043636,B,93215.0,91730.0,99329.26619717565,False,False,5.0,18.0,3,122173411300.0,50851371000.0,2026-01-19 14:04,1,,0
23,271560,오리온,KOSPI,4471536529200,기타,113100.0,102300.0,18.0,15.0,18.0,9,7.0,67.0,9.549071618037134,18.48739495798319,18.502192369345597,B,106230.0,105050.0,109288.68592835584,False,True,15.0,18.0,2,9820421600.0,14795561700.0,2026-01-19 14:04,1,,0
24,060280,큐렉소,KOSDAQ,590052256400,기타,14360.0,12820.0,20.0,15.0,20.0,7,5.0,67.0,10.724233983286908,66.38655462184875,18.80981223342717,B,13183.0,12404.0,14974.129848155195,True,False,15.0,20.0,0,4080244230.0,1057857800.0,2026-01-19 14:03,1,,0
25,014680,한솔케미칼,KOSPI,2782790372500,기타,245500.0,225000.0,25.0,20.0,3.0,11,7.0,66.0,8.350305498981669,10.084033613445378,44.39881305037477,R,233975.0,230840.0,251593.56980186186,True,True,20.0,3.0,5,15657741000.0,-7656807500.0,2026-01-19 14:04,1,,0
26,454910,두산로보틱스,KOSPI,6981111846000,기타,107700.0,99084.0,24.0,0.0,18.0,15,9.0,66.0,8.0,52.10084033613445,38.000501374513384,-,83960.0,80194.0,92730.38041068568,False,False,0.0,18.0,5,68370078400.0,37030694500.0,2026-01-19 14:05,1,,0
27,012750,에스원,KOSPI,2895537363600,기타,76200.0,70300.0,20.0,20.0,8.0,9,9.0,66.0,7.742782152230972,6.722689075630252,10.511138582671801,R,75155.0,75044.0,78804.28586159303,True,True,20.0,8.0,1,425767500.0,818553700.0,2026-01-19 14:04,1,,0
28,010140,삼성중공업,KOSPI,28028000000000,기타,31850.0,29302.0,25.0,5.0,16.0,11,9.0,66.0,8.0,24.369747899159663,45.9961467091761,B,26365.0,25917.0,30240.68425604042,False,False,5.0,16.0,5,305303495350.0,-32767500700.0,2026-01-19 14:04,1,,0
29,018260,삼성에스디에스,KOSPI,14229777420000,기타,183900.0,171300.0,24.0,20.0,8.0,5,9.0,66.0,6.851549755301795,11.764705882352942,34.46711031227395,R,175050.0,172826.0,183653.36324781965,True,True,20.0,8.0,2,37197221000.0,-25616754600.0,2026-01-19 14:03,1,,0
30,090710,휴림로봇,KOSDAQ,1988962330050,기타,16650.0,15318.0,25.0,5.0,20.0,7,9.0,66.0,8.0,77.3109243697479,80.57402637025085,B,8418.5,6711.1,10689.955618681368,False,False,5.0,20.0,0,7393056870.0,620565760.0,2026-01-19 14:03,1,,0
31,056080,유진로봇,KOSDAQ,1232274193200,기타,32850.0,30222.0,25.0,5.0,20.0,7,9.0,66.0,8.0,100.0,44.17838607598734,B,16682.5,14248.0,20993.361172741665,False,False,5.0,20.0,0,6282236700.0,16184745460.0,2026-01-19 14:03,1,,0
32,016360,삼성증권,KOSPI,7456550000000,기타,83500.0,75700.0,20.0,20.0,3.0,15,7.0,65.0,9.341317365269461,5.042016806722689,27.565418206173995,R,78810.0,79096.0,83249.63067025166,True,True,20.0,3.0,5,62438662100.0,17856076200.0,2026-01-19 14:05,1,,0
33,051600,한전KPS,KOSPI,2542500000000,기타,56500.0,51980.0,21.0,15.0,13.0,7,9.0,65.0,8.0,21.84873949579832,36.34709910986758,B,51765.0,52260.0,55415.970050898104,True,False,15.0,13.0,0,18823753300.0,9819759200.0,2026-01-19 14:03,1,,0
34,042660,한화오션,KOSPI,45594313027200,기타,148800.0,136896.0,25.0,10.0,10.0,11,9.0,65.0,8.0,61.34453781512605,52.01333692394793,-,126540.0,120938.0,148577.68039484683,True,False,10.0,10.0,5,381183911800.0,-34123290900.0,2026-01-19 14:04,1,,0
35,002380,KCC,KOSPI,3816739294500,기타,429500.0,388000.0,22.0,20.0,5.0,11,7.0,65.0,9.662398137369035,0.8403361344537815,40.53993775832303,R,416025.0,418810.0,448380.43534408323,True,True,20.0,5.0,5,20512279500.0,-2623082500.0,2026-01-19 14:04,1,,0
36,071050,한국금융지주,KOSPI,10186711337600,기타,182800.0,165000.0,25.0,20.0,8.0,5,7.0,65.0,9.737417943107221,4.201680672268908,41.16803095979696,R,168030.0,165004.0,182071.7487700356,True,True,20.0,8.0,2,19118609300.0,-5027729300.0,2026-01-19 14:03,1,,0
37,075580,세진중공업,KOSPI,1179626212000,기타,20750.0,19090.0,24.0,10.0,15.0,6,9.0,64.0,8.0,1.680672268907563,37.94106688697089,-,18755.5,18631.6,22713.966532187056,False,True,10.0,15.0,1,-510222920.0,542318230.0,2026-01-19 14:04,1,,0
38,058650,세아홀딩스,KOSPI,584800000000,기타,146200.0,125800.0,25.0,10.0,15.0,9,5.0,64.0,13.953488372093023,71.42857142857143,55.59635487877644,-,136935.0,125992.0,144472.761319183,True,False,10.0,15.0,1,452594400.0,8307700.0,2026-01-19 14:04,1,,0
39,005940,NH투자증권,KOSPI,8017748302500,기타,22500.0,20750.0,22.0,20.0,10.0,3,9.0,64.0,7.777777777777778,5.882352941176471,21.99791463373155,R,21382.5,21175.6,22235.936433064708,True,True,20.0,10.0,0,26892703600.0,-2423732500.0,2026-01-19 14:03,1,,0
