rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,103140,풍산,KOSPI,3676785273600,기타,131200.0,124561.5,25.0,15.0,20.0,15,8.0,83.0,6.921404232424678,41.1764705882353,56.10037288576967,B,122560.0,110002.0,130139.58420458011,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -2}",93500.0,breakout,돌파,133824.0,124561.5,6.921404232424678,oneil,오닐,131200.0,125025.0,4.706554878048781,pullback,눌림목,122560.0,115150.0,6.046018276762402,5,36710066500.0,12966582800.0,2026-01-30 18:18,1,,0
2,108490,로보티즈,KOSDAQ,4931974788000,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",338500.0,311107.5,23.0,25.0,16.0,15,3.0,82.0,9.894430445738118,10.92436974789916,29.081398102488638,B,267075.0,261626.0,322433.07115845557,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -7}",81801.0,breakout,돌파,345270.0,311107.5,9.894430445738118,oneil,오닐,338500.0,315725.0,6.72821270310192,pullback,눌림목,267075.0,239745.0,10.233080595338388,5,115010150500.0,179482181500.0,2026-01-30 18:18,1,,0
3,192820,코스맥스,KOSPI,2298275572500,화장품,202500.0,195757.5,18.0,25.0,16.0,11,9.0,79.0,5.2251270878721865,4.201680672268908,51.05532926593269,B,184035.0,172976.0,197525.6194865758,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -1}",155700.0,breakout,돌파,206550.0,195757.5,5.2251270878721865,oneil,오닐,202500.0,195305.0,3.553086419753086,pullback,눌림목,184035.0,175401.0,4.691498899665825,5,9267644700.0,-3399693100.0,2026-01-30 18:18,1,,0
4,012750,에스원,KOSPI,3024734568800,"부가통신 서비스(경비),안전관리용역,CCTV카메라",79600.0,77060.0,24.0,24.0,13.0,8,10.0,79.0,3.1909547738693465,15.966386554621849,30.07962957765333,A,75855.0,75576.0,79514.48038329341,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",73800.0,oneil,Pocket Pivot,79600.0,77060.0,3.1909547738693465,breakout,돌파,81192.0,77104.5,5.034362991427726,pullback,눌림목,75855.0,73800.0,2.7091160767253313,4,1650051300.0,-2401018800.0,2026-01-30 18:18,1,,0
5,222800,심텍,KOSDAQ GLOBAL,2259204189000,반도체용 인쇄회로기판,60500.0,56672.5,19.0,25.0,18.0,7,8.0,77.0,6.326446280991735,12.605042016806722,21.884822841115657,B,50210.0,51562.0,60956.63695085339,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",25600.0,oneil,Pocket Pivot,60500.0,56672.5,6.326446280991735,breakout,돌파,60956.63695085339,55215.38695085339,9.418580629093617,pullback,눌림목,50210.0,45617.0,9.147580163314082,0,152253000.0,59449439700.0,2026-01-30 18:18,1,,0
6,060370,LS마린솔루션,KOSDAQ,1687314984200,해저케이블등의 건설 및 유지보수 업무,32300.0,31546.07833091224,21.0,20.0,20.0,7,9.0,77.0,5.482968915209824,16.80672268907563,31.75584580157757,R,29377.5,29401.0,33376.07833091224,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",29450.0,breakout,돌파,33376.07833091224,31546.07833091224,5.482968915209824,oneil,오닐,32300.0,31080.0,3.777089783281734,pullback,눌림목,29377.5,27908.625,5.0,0,162053700.0,21204277200.0,2026-01-30 18:18,1,,0
7,139130,iM금융지주,KOSPI,2489681036500,지주회사,15500.0,14982.618497229463,25.0,15.0,18.0,9,10.0,77.0,3.7856120867875607,47.89915966386555,49.81178446623061,B,14627.0,14619.6,15572.118497229463,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",14560.0,breakout,돌파,15572.118497229463,14982.618497229463,3.7856120867875607,pullback,눌림목,14627.0,14560.0,0.45805701784371367,oneil,오닐,15500.0,15107.0,2.5354838709677416,1,4417628190.0,1330727470.0,2026-01-30 18:18,1,,0
8,078930,GS,KOSPI,6383286468600,지주회사/부동산 임대,68700.0,66565.0,25.0,15.0,16.0,11,10.0,77.0,3.107714701601165,19.327731092436974,62.893880186893284,B,60690.0,58418.0,64909.18322427542,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",40700.0,oneil,Pocket Pivot,68700.0,66565.0,3.107714701601165,breakout,돌파,70074.0,66871.5,4.570168678825242,pullback,눌림목,60690.0,58128.0,4.221453287197232,5,21894701600.0,-4155108300.0,2026-01-30 18:18,1,,0
9,002380,KCC,KOSPI,4345484319000,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조",489000.0,472980.0,25.0,20.0,11.0,11,9.0,76.0,5.172621195717551,18.48739495798319,46.32648773986018,R,437650.0,426750.0,466639.8603753064,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_deduction"": -1}",346000.0,breakout,돌파,498780.0,472980.0,5.172621195717551,oneil,오닐,489000.0,471800.0,3.517382413087935,pullback,눌림목,437650.0,417010.0,4.716097338055524,5,14709935500.0,-2194785500.0,2026-01-30 18:18,1,,0
10,069260,TKG휴켐스,KOSPI,817571760000,"화합물,화학제품 제조",20000.0,19535.0,22.0,15.0,13.0,15,10.0,75.0,2.325,80.67226890756302,45.34672123034693,B,18667.0,18856.6,20092.899104614262,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",17980.0,oneil,Inside Day,20000.0,19535.0,2.325,breakout,돌파,20092.899104614262,19395.399104614262,3.471375615676195,pullback,눌림목,18667.0,18109.0,2.9892323351368724,5,3143458340.0,2185797780.0,2026-01-30 18:19,1,,0
11,033780,KT&G,KOSPI,18156605665500,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",153900.0,152193.0,25.0,24.0,8.0,8,10.0,75.0,3.0481978366395293,6.722689075630252,40.409074505706535,A,144105.0,143880.0,148895.03629447214,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_today"": 8, ""risk_safe"": 10}",141700.0,breakout,돌파,156978.0,152193.0,3.0481978366395293,pullback,눌림목,144105.0,141700.0,1.6689219666215604,oneil,오닐,153900.0,150710.0,2.07277452891488,3,21654310800.0,-26625605300.0,2026-01-30 18:18,1,,0
12,102940,코오롱생명과학,KOSDAQ,839263680000,"항균제, 수처리제, 원료의약 등",64800.0,61389.75,22.0,15.0,20.0,11,7.0,75.0,7.120324981844589,64.70588235294117,43.26712231923922,B,50475.0,51242.0,64572.34090750701,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",33000.0,breakout,돌파,66096.0,61389.75,7.120324981844589,oneil,오닐,64800.0,61662.5,4.841820987654321,pullback,눌림목,50475.0,46710.0,7.459138187221397,5,6064957500.0,-1612049000.0,2026-01-30 18:18,1,,0
13,034230,파라다이스,KOSPI,1639274616660,"카지노, 호텔, 복합리조트",17740.0,17569.232903846034,19.0,25.0,18.0,3,9.0,74.0,5.372512251702459,0.0,24.54160028081994,B,16823.0,17054.2,18566.732903846034,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",14110.0,breakout,돌파,18566.732903846034,17569.232903846034,5.372512251702459,oneil,오닐,17740.0,17170.0,3.2130777903043963,pullback,눌림목,16823.0,16025.0,4.743505914521785,0,78025270.0,-4421732170.0,2026-01-30 18:18,1,,0
14,005810,풍산홀딩스,KOSPI,596875888800,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",41400.0,40800.0,20.0,24.0,13.0,5,10.0,72.0,3.3816425120772946,5.042016806722689,20.82701321792852,A,39047.5,37976.0,40127.25302683174,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",40800.0,breakout,돌파,42228.0,40203.0,4.79539641943734,oneil,오닐,41400.0,40050.0,3.260869565217391,pullback,눌림목,39047.5,37095.125,5.0,2,1284642450.0,-962322200.0,2026-01-30 18:18,1,,0
15,950160,코오롱티슈진,KOSDAQ,8738232825000,골관절염 치료제,105000.0,98915.0,25.0,10.0,13.0,15,9.0,72.0,5.795238095238095,68.90756302521008,43.937145016752005,-,80230.0,77148.0,100059.5381139275,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 3, ""risk_deduction"": -1}",45550.0,oneil,Inside Day,105000.0,98915.0,5.795238095238095,breakout,돌파,107100.0,97972.5,8.522408963585434,pullback,눌림목,80230.0,72928.0,9.101333665711081,5,29008815000.0,24277538600.0,2026-01-30 18:19,1,,0
16,004690,삼천리,KOSPI,582301590000,도시가스 공급/부동산 임대,143600.0,139095.0,20.0,15.0,16.0,11,10.0,72.0,3.1371866295264623,56.30252100840336,29.82618810931967,B,126305.0,127216.0,138110.9028052868,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",96800.0,oneil,Pocket Pivot,143600.0,139095.0,3.1371866295264623,breakout,돌파,146472.0,139714.5,4.613509749303621,pullback,눌림목,126305.0,120899.0,4.28011559320692,5,3151350500.0,-1018366100.0,2026-01-30 18:19,1,,0
17,007700,F&F홀딩스,KOSPI,815534551950,지주회사,20850.0,20400.0,19.0,20.0,18.0,5,10.0,72.0,2.158273381294964,0.0,24.99886251499782,R,19408.5,19872.4,21492.923670194847,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",20400.0,oneil,Pocket Pivot,20850.0,19907.5,4.520383693045563,breakout,돌파,21492.923670194847,20079.173670194847,6.577746339649954,pullback,눌림목,19408.5,18438.075,4.9999999999999964,2,142853220.0,-47700970.0,2026-01-30 18:18,1,,0
18,011790,SKC,KOSPI,4434377695800,"기초화학원료(PO, PG), 전지용 동박 등을 제조ㆍ판매하는 사업",117100.0,115400.0,24.0,20.0,11.0,7,10.0,72.0,4.813993777203093,18.48739495798319,34.7457518269728,R,109995.0,109340.0,121236.30833915781,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",115400.0,breakout,돌파,121236.30833915781,113991.30833915781,5.975932539724122,oneil,오닐,117100.0,114270.0,2.416737830913749,pullback,눌림목,109995.0,104495.25,5.0,0,3965835800.0,531952300.0,2026-01-30 18:18,1,,0
19,069960,현대백화점,KOSPI,2120319778100,백화점,93700.0,91390.0,20.0,20.0,11.0,11,10.0,72.0,2.4653148345784417,0.0,25.47390861825537,R,91445.0,91926.0,97618.53532161529,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",85900.0,oneil,Pocket Pivot,93700.0,91390.0,2.4653148345784417,breakout,돌파,97618.53532161529,91176.03532161529,6.5996687809077,pullback,눌림목,91445.0,86291.0,5.636174749849636,5,13351498200.0,-20722871900.0,2026-01-30 18:19,1,,0
20,055550,신한지주,KOSPI,40927222936200,금융지주회사,84300.0,78237.0,24.0,20.0,5.0,11,10.0,70.0,3.4289946306239583,18.48739495798319,34.03935051492188,R,81015.0,79044.0,83739.62858354801,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_today"": 5, ""risk_safe"": 10}",59800.0,pullback,눌림목,81015.0,78237.0,3.4289946306239583,breakout,돌파,85986.0,82513.5,4.038448119461307,oneil,오닐,84300.0,83130.0,1.387900355871886,5,114210434100.0,-35140925300.0,2026-01-30 18:19,1,,0
