Rank,Sector,AvgReturn_3M,StockCount
1,자동차 신품 부품 제조업,66.22249760005677,8
2,의료용품 및 기타 의약 관련제품 제조업,63.59594319182399,7
3,1차 비철금속 제조업,62.25855372158729,4
4,"항공기,우주선 및 부품 제조업",59.43113188543558,3
5,절연선 및 케이블 제조업,49.522940552752424,3
6,기초 의약물질 제조업,42.3737105647596,15
7,소프트웨어 개발 및 공급업,39.797220873311225,23
8,일반 목적용 기계 제조업,39.22890578340053,10
9,반도체 제조업,38.16750411375948,11
10,자연과학 및 공학 연구개발업,37.370704304599464,23
11,의료용 기기 제조업,35.41367772321788,8
12,전자부품 제조업,33.93002069863032,24
13,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",32.45362534348347,10
14,고무제품 제조업,31.92978333569532,3
15,1차 철강 제조업,31.340065769371762,10
16,자동차용 엔진 및 자동차 제조업,30.02959564021235,3
17,통신 및 방송 장비 제조업,27.6132437695218,6
18,특수 목적용 기계 제조업,24.59410029637321,35
19,종합 소매업,23.95282485960167,6
20,의약품 제조업,22.130936689707543,23
21,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",21.706497068118146,4
22,토목 건설업,20.988041840138226,4
23,기타 금융업,20.623940862240897,43
24,기초 화학물질 제조업,18.140570473052634,20
25,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",16.3918629840434,4
26,화학섬유 제조업,14.417598061101163,4
27,"건축기술, 엔지니어링 및 관련 기술 서비스업",13.624251918593425,5
28,금융 지원 서비스업,12.002277832260091,13
29,기타 전문 도매업,11.558134843516287,4
30,봉제의복 제조업,11.185397079830425,3
31,기타 화학제품 제조업,7.286452622727069,22
32,해상 운송업,6.129266756343296,3
33,석유 정제품 제조업,5.722996923864145,3
34,선박 및 보트 건조업,5.60533558166661,6
35,부동산 임대 및 공급업,4.724422542935402,6
36,전기 통신업,2.8357864963979815,3
37,건물 건설업,1.970623018685887,3
38,보험업,1.4775688744283078,10
39,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1.0304414094095797,4
40,기타 식품 제조업,-3.173853978223296,8
41,일차전지 및 이차전지 제조업,-3.6442391519181356,11
42,오디오물 출판 및 원판 녹음업,-5.344371231573236,4
43,항공 여객 운송업,-7.256709552767734,3
44,유원지 및 기타 오락관련 서비스업,-9.783940673246898,3
45,회사 본부 및 경영 컨설팅 서비스업,-13.46107625570724,3
46,플라스틱제품 제조업,-13.90648167007671,3
