rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk,mktcap,pattern_score,volume_score,supply_score,risk_score,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d
1,454910,두산로보틱스,KOSPI,90400.0,47.0,25.0,12.0,84.0,79400.0,12.168141592920351,39.49579831932773,32.28631449594295,B,82555.0,79668.0,25.0,0,0,,"ai, 두산에너빌리티, 로봇, 기아, 시총, 반면",10,2026-01-17 23:59,1,,,,,,,,,,
2,32830,삼성생명,KOSPI,170600.0,47.0,25.0,10.0,82.0,155200.0,9.02696365767878,26.050420168067227,34.17738399716758,A,160170.0,156486.0,25.0,0,0,,"안세영, 인도, quot, 삼성생명, 세계, 17일",10,2026-01-17 23:57,1,,,,,,,,,,
3,403870,HPSP,KOSDAQ GLOBAL,35750.0,50.0,5.0,18.0,73.0,32700.0,8.531468531468532,26.050420168067227,58.52018132166271,-,32770.0,31364.0,5.0,0,0,,"hpsp, 반도체, 코스닥, 삼천당제약, 지투지바이오, 기관",10,2026-01-18 00:00,1,,,,,,,,,,
4,131970,두산테스나,KOSDAQ GLOBAL,51300.0,50.0,5.0,16.0,71.0,48950.0,4.580896686159844,11.764705882352942,61.64730379203501,-,49470.0,46508.0,5.0,0,0,,"두산테스나, 반도체, 회복과, 테크윙, 시스템반도체, 알파칩스",10,2026-01-18 00:04,1,,,,,,,,,,
5,240810,원익IPS,KOSDAQ GLOBAL,76700.0,50.0,5.0,16.0,71.0,71800.0,6.388526727509778,10.084033613445378,57.65009631352253,-,70975.0,66384.0,5.0,0,0,,"반도체, 기업들이, 것이, 원익ips, 관련, 이런 기업들이",10,2026-01-18 00:00,1,,,,,,,,,,
6,98460,고영,KOSDAQ,28400.0,50.0,0.0,20.0,70.0,25250.0,11.091549295774648,77.3109243697479,40.98892294025291,-,25577.5,23637.2,0.0,0,0,,"반도체, 기업들이, 것이, 원익ips, 반도체 전문가들의, 모여들고 있고",10,2026-01-18 00:02,1,,,,,,,,,,
7,204320,HL만도,KOSPI,64200.0,50.0,0.0,20.0,70.0,55200.0,14.018691588785046,94.11764705882354,50.11125639879317,-,57565.0,49981.0,0.0,0,0,,"ai, hl만도, 함께, 자율주행, 참여한다, 카카오모빌리티는",10,2026-01-18 00:00,1,,,,,,,,,,
8,30530,원익홀딩스,KOSDAQ,42500.0,50.0,0.0,20.0,70.0,38400.0,9.647058823529411,34.45378151260504,47.255039008081496,-,40287.5,32886.0,0.0,0,0,,"hpsp, 아모레퍼시픽, 휴림로봇, 1월, 뉴로메카, 라온테크",10,2026-01-18 00:00,1,,,,,,,,,,
9,80220,제주반도체,KOSDAQ,30850.0,50.0,0.0,20.0,70.0,28250.0,8.427876823338735,100.0,73.7253102624406,-,26131.0,21964.6,0.0,0,0,,"반도체, quot, 제주대학교, 화물, 오늘, 있는",10,2026-01-18 00:04,1,,,,,,,,,,
10,83450,GST,KOSDAQ,27600.0,50.0,0.0,20.0,70.0,26500.0,3.985507246376811,50.42016806722689,43.63933598458218,-,27552.5,26926.0,0.0,0,0,,"quot, gst, 인하, 상품, 상품 서비스세, 서비스세",10,2026-01-18 00:07,1,,,,,,,,,,
11,124500,아이티센글로벌,KOSDAQ,32200.0,50.0,0.0,20.0,70.0,29850.0,7.298136645962733,72.26890756302521,43.18214868175282,-,31127.5,25380.0,0.0,0,0,,"ai, 아이티센글로벌, 글로벌, 1월, 엑스페릭스, 포바이포",10,2026-01-18 00:05,1,,,,,,,,,,
12,67310,하나마이크론,KOSDAQ,27950.0,50.0,0.0,18.0,68.0,26000.0,6.976744186046512,36.97478991596638,48.78670623299393,-,26332.5,25602.0,0.0,0,0,,"하나마이크론, 한미반도체, 신성이엔지, 반도체, 클라쓰, 대비",10,2026-01-18 00:02,1,,,,,,,,,,
13,95610,테스,KOSDAQ,50700.0,50.0,0.0,18.0,68.0,48900.0,3.5502958579881656,57.98319327731093,64.90909932884233,-,47977.5,43623.0,0.0,0,0,,"반도체, 테스, quot, 피에스케이, 원익ips, 브이엠",10,2026-01-18 00:04,1,,,,,,,,,,
14,189300,인텔리안테크,KOSDAQ,68900.0,50.0,0.0,18.0,68.0,66300.0,3.7735849056603774,100.0,83.7910796696872,-,63862.5,51351.0,0.0,0,0,,"상장기업, 브랜드평판, 통신장비 상장기업, 통신장비, 쏠리드, 1월",10,2026-01-18 00:05,1,,,,,,,,,,
15,475830,오름테라퓨틱,KOSDAQ,121800.0,50.0,0.0,18.0,68.0,108700.0,10.755336617405582,92.43697478991596,66.65088659245198,-,115820.0,85492.0,0.0,0,0,,"위원, 코리아, 한국바이오협회, 나이트, 코리아 나이트, 오름테라퓨틱",10,2026-01-18 00:01,1,,,,,,,,,,
16,399720,가온칩스,KOSDAQ,60400.0,50.0,0.0,18.0,68.0,51400.0,14.90066225165563,100.0,53.57240863047405,-,54147.5,50747.0,0.0,0,0,,"반도체, 가온칩스, ai, 고영, 등은, 시스템반도체",10,2026-01-18 00:05,1,,,,,,,,,,
17,42700,한미반도체,KOSPI,178500.0,50.0,0.0,18.0,68.0,153200.0,14.173669467787114,66.38655462184875,60.731054367415176,-,152140.0,135094.0,0.0,0,0,,"반도체, quot, 관세, 한미, 한미 반도체, 압박",10,2026-01-17 23:58,1,,,,,,,,,,
18,58470,리노공업,KOSDAQ GLOBAL,64700.0,50.0,5.0,12.0,67.0,61400.0,5.1004636785162285,26.050420168067227,40.37113194665708,-,62690.0,61580.0,5.0,0,0,,"반도체, 리노공업, 원익ips, 삼천당제약, 이오테크닉스, hpsp",10,2026-01-17 23:59,1,,,,,,,,,,
19,476060,온코닉테라퓨틱스,KOSDAQ,20050.0,47.0,0.0,20.0,67.0,18600.0,7.231920199501247,39.49579831932773,32.13291805952033,-,20041.0,17997.8,0.0,0,0,,"온코닉테라퓨틱스, 대비, 19, cab, 신종길, 15일",10,2026-01-18 00:04,1,,,,,,,,,,
20,1440,대한전선,KOSPI,25750.0,50.0,0.0,16.0,66.0,23850.0,7.378640776699028,41.1764705882353,40.25041967715489,-,24482.5,23936.0,0.0,0,0,,"quot, 각각, 대한전선, 대한전선은, 종목은, 시대",10,2026-01-17 23:59,1,,,,,,,,,,
21,39490,키움증권,KOSPI,330000.0,50.0,5.0,10.0,65.0,293500.0,11.06060606060606,4.201680672268908,46.53859739825207,-,304650.0,291110.0,5.0,0,0,,"16일, 52주, 신고가, 15일, 오르며, 코스피",10,2026-01-17 23:58,1,,,,,,,,,,
22,14680,한솔케미칼,KOSPI,246500.0,50.0,5.0,10.0,65.0,225000.0,8.72210953346856,15.126050420168069,41.67242879532809,-,232925.0,230340.0,5.0,0,0,,"한솔케미칼, 회사채, 기대, 기반, etri, 미러형",10,2026-01-18 00:01,1,,,,,,,,,,
23,28300,HLB,KOSDAQ,52600.0,50.0,5.0,10.0,65.0,49600.0,5.70342205323194,13.445378151260504,49.32026673025074,-,50320.0,49091.0,5.0,0,0,,"코스닥, quot, 바이오, 이번, 시총, 셀트리온",10,2026-01-17 23:59,1,,,,,,,,,,
24,34730,SK,KOSPI,299000.0,50.0,5.0,10.0,65.0,261500.0,12.54180602006689,2.5210084033613445,47.1261500457264,-,268800.0,263810.0,5.0,0,0,,"quot, sk텔레콤, 나주시, 교육, 함께, 한국인터넷진흥원 kisa",10,2026-01-17 23:58,1,,,,,,,,,,
25,64760,티씨케이,KOSDAQ GLOBAL,168900.0,47.0,5.0,12.0,64.0,148600.0,12.01894612196566,21.008403361344534,36.53051886255165,-,152400.0,151952.0,5.0,0,0,,"티씨케이, 원익ips, 반도체, 피에스케이, 피에스케이홀딩스, hpsp",10,2026-01-18 00:02,1,,,,,,,,,,
26,319660,피에스케이,KOSDAQ GLOBAL,41650.0,50.0,0.0,14.0,64.0,40450.0,2.881152460984394,57.142857142857146,67.29805023707411,-,38712.5,35280.0,0.0,0,0,,"피에스케이홀딩스, 피에스케이, 지투지바이오, 반도체, 장비, 코스닥",10,2026-01-18 00:03,1,,,,,,,,,,
27,5290,동진쎄미켐,KOSDAQ,40100.0,50.0,0.0,14.0,64.0,39300.0,1.99501246882793,36.134453781512605,42.50216711768521,-,39037.5,37303.0,0.0,0,0,,"반도체, 40, 동진쎄미켐, quot, 16일, 트럼프",10,2026-01-18 00:02,1,,,,,,,,,,
28,161580,필옵틱스,KOSDAQ,44500.0,43.0,5.0,16.0,64.0,40850.0,8.202247191011235,26.89075630252101,28.096866914409123,-,44127.5,43987.0,5.0,0,0,,"한기수, 필옵틱스, 전영현, 김민재, 자랑스러운, 한양인상",10,2026-01-18 00:04,1,,,,,,,,,,
29,39030,이오테크닉스,KOSDAQ GLOBAL,300000.0,50.0,0.0,14.0,64.0,295000.0,1.6666666666666667,48.739495798319325,54.20018351640257,-,285500.0,276270.0,0.0,0,0,,"이오테크닉스, 반도체, 있다, 리노공업, 오인경, 그래픽",10,2026-01-18 00:00,1,,,,,,,,,,
30,36930,주성엔지니어링,KOSDAQ GLOBAL,31950.0,48.0,0.0,16.0,64.0,30500.0,4.538341158059469,89.91596638655462,58.55968474627826,-,30245.0,29391.0,0.0,0,0,,"quot, 세메스 주성엔지니어링, 램리서치코리아 도쿄일렉트론코리아, 램리서치코리아, 세메스, asml을",10,2026-01-18 00:02,1,,,,,,,,,,
31,103590,일진전기,KOSPI,62400.0,47.0,5.0,12.0,64.0,57800.0,7.371794871794872,25.210084033613445,36.72865771516566,-,58490.0,57468.0,5.0,0,0,,"62, quot, 있다, 일진전기, 국내, 효성중공업",10,2026-01-18 00:00,1,,,,,,,,,,
32,126340,비나텍,KOSDAQ,86100.0,47.0,0.0,16.0,63.0,80400.0,6.620209059233449,71.42857142857143,35.932829452071545,-,78545.95,67704.18,0.0,0,0,,"비나텍, 500, 진성티이씨, 일지테크, 아이에이, electric",10,2026-01-18 00:06,1,,,,,,,,,,
