rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,222800,심텍,KOSDAQ GLOBAL,2229330414600,반도체용 인쇄회로기판,59700.0,56625.0,17.0,25.0,20.0,15,9.0,86.0,5.150753768844221,18.48739495798319,16.276768851178506,B,49377.5,51438.0,61661.91924363018,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",25600.0,oneil,Pocket Pivot,59700.0,56625.0,5.150753768844221,breakout,돌파,61661.91924363018,57049.41924363018,7.48030560284009,pullback,눌림목,49377.5,45687.5,7.473039339780264,5,24873147900.0,9891955700.0,2026-01-28 17:02,1,,0
2,84370,유진테크,KOSDAQ,2342019492400,실리콘질화막증착용LP-CVD,102200.0,95940.0,24.0,25.0,20.0,7,8.0,84.0,6.125244618395303,17.647058823529413,31.04473316834776,B,84155.0,80364.0,101532.86447156622,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -2}",32800.0,oneil,Pocket Pivot,102200.0,95940.0,6.125244618395303,breakout,돌파,104244.0,94854.0,9.00771267411074,pullback,눌림목,84155.0,76643.0,8.926385835660389,0,2085742800.0,8607381800.0,2026-01-28 17:02,1,,0
3,353200,대덕전자,KOSPI,2693222412500,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",54500.0,51830.0,21.0,25.0,20.0,8,10.0,84.0,4.899082568807339,0.0,30.32131207377199,B,47915.0,48257.0,54107.14196069987,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",20700.0,oneil,Pocket Pivot,54500.0,51830.0,4.899082568807339,breakout,돌파,55590.0,51585.0,7.204533189422559,pullback,눌림목,47915.0,44711.0,6.686841281435877,3,10405483450.0,-322641650.0,2026-01-28 17:02,1,,0
4,108490,로보티즈,KOSDAQ,4473017016000,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",307000.0,283453.3338556002,23.0,25.0,18.0,12,3.0,81.0,9.76511721292254,2.5210084033613445,26.31314882769078,B,260250.0,256496.0,314128.3338556002,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -7}",81801.0,breakout,돌파,314128.3338556002,283453.3338556002,9.76511721292254,oneil,오닐,307000.0,286550.0,6.661237785016287,pullback,눌림목,260250.0,235710.0,9.429394812680115,3,55634841500.0,106342765000.0,2026-01-28 17:02,1,,0
5,290650,엘앤씨바이오,KOSDAQ,1858186312400,"인체조직(피부, 뼈, 연골)",74800.0,71000.0,22.0,15.0,20.0,15,9.0,81.0,5.080213903743315,32.77310924369748,56.47151191278885,B,59470.0,61108.0,72450.3957837082,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -1}",43000.0,oneil,Pocket Pivot,74800.0,71000.0,5.080213903743315,breakout,돌파,76296.0,70596.0,7.470902799622523,pullback,눌림목,59470.0,54910.0,7.667731629392971,5,29075742300.0,27299069000.0,2026-01-28 17:02,1,,0
1,33640,네패스,KOSDAQ,409300835500,반도체및TFT-LCD용현상액,17750.0,16900.0,17.0,25.0,16.0,12,10.0,80.0,4.788732394366197,15.126050420168069,15.325984597360597,B,16261.5,16539.6,18297.746776380434,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",12380.0,oneil,Pocket Pivot,17750.0,16900.0,4.788732394366197,breakout,돌파,18297.746776380434,17022.746776380434,6.968071072258078,pullback,눌림목,16261.5,15241.5,6.272484088183747,4,933284690.0,130743670.0,2026-01-28 17:02,2,,0
2,136490,선진,KOSPI,255630743000,조제동물사료,10750.0,10516.5,21.0,24.0,16.0,8,10.0,79.0,4.090287277701778,7.563025210084033,28.742009742169994,A,9688.5,9635.6,10597.122172856336,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",9850.0,breakout,돌파,10965.0,10516.5,4.090287277701778,oneil,오닐,10750.0,10451.0,2.781395348837209,pullback,눌림목,9688.5,9204.075,5.000000000000012,4,407804200.0,-129280490.0,2026-01-28 17:02,2,,0
3,35600,KG이니시스,KOSDAQ,310814015520,전자지불서비스,11280.0,11014.0,22.0,15.0,20.0,12,10.0,79.0,2.358156028368794,57.98319327731093,58.04274224701361,B,10137.0,10443.8,11174.792011569984,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",10110.0,oneil,Pocket Pivot,11280.0,11014.0,2.358156028368794,breakout,돌파,11505.6,11106.6,3.4678765123070505,pullback,눌림목,10137.0,10110.0,0.2663509914175792,4,2685621280.0,44474660.0,2026-01-28 17:02,2,,0
4,265520,AP시스템,KOSDAQ,315314699950,디스플레이 제조 장비,20950.0,20342.5,17.0,25.0,18.0,8,10.0,78.0,2.899761336515513,1.680672268907563,13.543926906712471,B,19440.0,19464.0,20560.06948309588,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",19000.0,oneil,Pocket Pivot,20950.0,20342.5,2.899761336515513,breakout,돌파,21369.0,20457.75,4.2643549066404605,pullback,눌림목,19440.0,19000.0,2.263374485596708,4,1868816080.0,-466711860.0,2026-01-28 17:02,2,,0
5,101160,월덱스,KOSDAQ,399566030600,반도체용링및전극,24200.0,23295.0,22.0,25.0,13.0,8,10.0,78.0,3.739669421487604,10.92436974789916,21.14304989980843,B,22680.0,22211.0,25375.523213740496,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",20100.0,oneil,Pocket Pivot,24200.0,23295.0,3.739669421487604,breakout,돌파,25375.523213740496,24018.023213740496,5.349643388889544,pullback,눌림목,22680.0,21594.0,4.788359788359788,4,2329511000.0,-5265009300.0,2026-01-28 17:02,2,,0
