rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
1,454910,두산로보틱스,KOSPI,90400.0,47.0,30.0,12.0,89.0,81200.0,10.17699115044248,39.49579831932773,32.28631449594295,B,82555.0,79668.0,30.0,0,0,,"ai, 두산에너빌리티, 로봇, 기아, 시총, 반면",10,2026-01-17 23:20,1
2,32830,삼성생명,KOSPI,170600.0,47.0,30.0,10.0,87.0,151200.0,11.371629542790153,26.050420168067227,34.17738399716758,B,160170.0,156486.0,30.0,0,0,,"안세영, 인도, quot, 삼성생명, 세계, 17일",10,2026-01-17 23:18,1
3,388720,유일로보틱스,KOSDAQ,89100.0,43.0,25.0,16.0,84.0,79500.0,10.774410774410772,58.8235294117647,29.479304868875605,B,84130.0,83440.0,25.0,0,0,,"ai, 외국인, 코스닥, 로봇, 관련주, 혁신상",10,2026-01-17 23:26,1
4,17670,SK텔레콤,KOSPI,55300.0,38.0,30.0,10.0,78.0,53100.0,3.9783001808318255,11.764705882352942,25.550282468353817,B,53505.0,53598.0,30.0,0,0,,"ai, sk텔레콤, 해킹, 지난해, quot, kt",10,2026-01-17 23:19,1
5,30530,원익홀딩스,KOSDAQ,42500.0,50.0,5.0,20.0,75.0,38400.0,9.647058823529411,34.45378151260504,47.255039008081496,-,40287.5,32886.0,5.0,0,0,,"hpsp, 아모레퍼시픽, 휴림로봇, 1월, 뉴로메카, 라온테크",10,2026-01-17 23:21,1
6,67310,하나마이크론,KOSDAQ,27950.0,50.0,5.0,18.0,73.0,26000.0,6.976744186046512,36.97478991596638,48.78670623299393,-,26332.5,25602.0,5.0,0,0,,"하나마이크론, 한미반도체, 신성이엔지, 반도체, 클라쓰, 대비",10,2026-01-17 23:23,1
7,403870,HPSP,KOSDAQ GLOBAL,35750.0,50.0,5.0,18.0,73.0,32700.0,8.531468531468532,26.050420168067227,58.52018132166271,-,32770.0,31364.0,5.0,0,0,,"hpsp, 반도체, 코스닥, 삼천당제약, 지투지바이오, 기관",10,2026-01-17 23:21,1
8,476060,온코닉테라퓨틱스,KOSDAQ,20050.0,47.0,5.0,20.0,72.0,18600.0,7.231920199501247,39.49579831932773,32.13291805952033,-,20041.0,17997.8,5.0,0,0,,"온코닉테라퓨틱스, 대비, 19, cab, 신종길, 15일",10,2026-01-17 23:27,1
9,240810,원익IPS,KOSDAQ GLOBAL,76700.0,50.0,5.0,16.0,71.0,71800.0,6.388526727509778,10.084033613445378,57.65009631352253,-,70975.0,66384.0,5.0,0,0,,"반도체, 기업들이, 것이, 원익ips, 관련, 이런 기업들이",10,2026-01-17 23:21,1
10,131970,두산테스나,KOSDAQ GLOBAL,51300.0,50.0,5.0,16.0,71.0,48950.0,4.580896686159844,11.764705882352942,61.64730379203501,-,49470.0,46508.0,5.0,0,0,,"두산테스나, 반도체, 회복과, 테크윙, 시스템반도체, 알파칩스",10,2026-01-17 23:26,1
